# Time (s),Elevator (deg),Throttle,Pitch Rate (deg/s),Pitch Angle (deg),Altitude (m)
1.459999999999999964e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.370646887952964965e+00,-8.221747444401992766e+01,8.864663241812068861e+01
1.469999999999999973e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.434479943758400600e+00,-8.216417243571081030e+01,8.846570719165914909e+01
1.479999999999999982e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.647861949940188975e+00,-8.211231342058084692e+01,8.828325292224781151e+01
1.489999999999999991e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.002842016335356856e+00,-8.206311987725918300e+01,8.809928037911721788e+01
1.500000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.490781472020113352e+00,-8.201771646892227352e+01,8.791380002623643009e+01
1.510000000000000009e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.102422909901099146e+00,-8.197712677246268242e+01,8.772682200373510852e+01
1.520000000000000018e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.827964792090555513e+00,-8.194226984740170394e+01,8.753835611175917109e+01
1.530000000000000027e+00,2.500000000000000000e+01,1.000000000000000000e+00,-4.657140898454914968e+00,-8.191395679104959981e+01,8.734841179686497981e+01
1.540000000000000036e+00,2.500000000000000000e+01,1.000000000000000000e+00,-5.579303833046815875e+00,-8.189288742887015360e+01,8.715699814106160659e+01
1.550000000000000044e+00,2.500000000000000000e+01,1.000000000000000000e+00,-6.583511748525657126e+00,-8.187964728189474783e+01,8.696412385360851260e+01
1.560000000000000053e+00,2.500000000000000000e+01,1.000000000000000000e+00,-7.658617407314799230e+00,-8.187470493992873344e+01,8.676979726566692364e+01
1.570000000000000062e+00,2.500000000000000000e+01,1.000000000000000000e+00,-8.793358669970183783e+00,-8.187840995305278113e+01,8.657402632788809171e+01
1.580000000000000071e+00,2.500000000000000000e+01,1.000000000000000000e+00,-9.976449485629229841e+00,-8.189099133674038455e+01,8.637681861100058711e+01
1.590000000000000080e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.119667045587840626e+01,-8.191255676941581498e+01,8.617818130943288679e+01
1.600000000000000089e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.244295805121389620e+01,-8.194309254664956654e+01,8.597812124797678734e+01
